FedDistrict	Region	Airport	May	June	July	LegalEntity
Ural	Тюменская область	Тюмень (Рощино)	41670	31000	35600	ООО «Лукойл-Аэро-Восток»
Ural	Ханты-Мансийский автономный округ	Белоярский	49602	49602	49602	ОАО «Аэропорт Белоярский»
Ural	Ханты-Мансийский автономный округ	Когалым	38697	31200	35800	ООО «Лукойл-Аэро-Восток»
Ural	Ханты-Мансийский автономный округ	Нижневартовск	44550	30550	35150	ОАО «Нижневартовскавиа» (май) "ООО ""Лукойл-Аэро""" (июнь-июль)
Ural	Ханты-Мансийский автономный округ	Нижневартовск	56500	56500	56500	"ООО ""Газэнергосеть Санкт-Петербург"""
Ural	Ханты-Мансийский автономный округ	Нягань	53000	53000	53000	ОАО «Аэропорт Нягань»
Ural	Ханты-Мансийский автономный округ	Советский	53900	53900	45130	ООО «Аэропорт Советский»
Ural	Ханты-Мансийский автономный округ	Сургут	42260	31430	36030	ООО «Лукойл-Аэро-Восток»
Ural	Ханты-Мансийский автономный округ	Урай	50000	50000	50000	ОАО «Аэропорт Урай»
Ural	Ханты-Мансийский автономный округ	Ханты-Мансийск	45900	45900	45900	ОАО «Юграавиа»
Ural	Ямало-Ненецкий автономный округ	Надым	55654	55654	55654	ОАО «Надымское авиапредприятие»
Ural	Ямало-Ненецкий автономный округ	Ноябрьск	46406	56863	56863	Ноябрьский  филиал ОАО «Аэропорт Сургут»
Ural	Ямало-Ненецкий автономный округ	Салехард	57675	57675	57675	ОАО «Аэропорт Салехард»
Ural	Ямало-Ненецкий автономный округ	Тарко-Сале	43562	43562	43562	ГУП ЯНАО «Аэропорт Тарко-Сале»
Ural	Ямало-Ненецкий автономный округ	Уренгой	46102	46102	46102	ГУП ЯНАО «Аэропорт Тарко-Сале»
Ural	Ямало-Ненецкий автономный округ	Сабетта	59280	59280	59280	"ООО ""Международный аэропорт Сабетта"""
Ural	Ямало-Ненецкий автономный округ	Бованенково	50560	50560	51875	Ямбургский филиал ООО АП «Газпромавиа»
Ural	Ямало-Ненецкий автономный округ	Ямбург	52778	52778	48147	Ямбургский филиал ООО АП «Газпромавиа»
Siberia	Иркутская область	Иркутск	44597	44597	44597	ООО «ТЗК Иркутск»
Siberia	Иркутская область	Иркутск	36800	35800	35800	ЗАО «ВСТК»
Siberia	Иркутская область	Братск	34953	34953	34953	ОАО «Аэропорт Братск»
Siberia	Иркутская область	Усть-Кут	49877	49877	49877	ООО «Аэрофьюэлз Усть-Кут»
Siberia	Иркутская область	Бодайбо	56276	56276	56276	ЗАО «Ленсиб»
FarEast	Забайкальский край	Чита	54350	54350	54350	ЗАО «СибавиаТЭК»
FarEast	Забайкальский край	Чита	38963	37296	38963	"ЗАО ""Газпромнефть-Аэро"""
FarEast	Республика Бурятия	Улан-Удэ	50137	50137	50137	ООО «Аэрофьюэлз Улан-Удэ»
FarEast	Республика (Саха) Якутия	Мирный	70100	70100	70100	Мирнинское авиапредприятие
FarEast	Республика (Саха) Якутия	Якутск		69000	69000	"АО ""АЭРОФЬЮЭЛЗ"""
FarEast	Республика (Саха) Якутия	Талакан	34175	39299	40746	ОАО Аэропорт Сургут
FarEast	Чукотский автономный округ	Анадырь	69950	69950	69950	"ООО ""ЧУКОТАЭРОСБЫТ"""
FarEast	Магаданская область	Магадан	67035	69910	67035	ООО ТЗК «АЭРОФЬЮЭЛЗ Магадан» 
FarEast	Магаданская область	Магадан	63250	63250	63250	"ООО ""Колыманефтепродукт"""
FarEast	Хабаровский край	Хабаровск	41518	35215	41589	ОАО «Хабаровский аэропорт»
FarEast	Хабаровский край	Хабаровск	41518	35215	41589	ООО «ТЗК-Аэро»
FarEast	Хабаровский край	Комсомольск-на-Амуре	59203	59203	59203	ОАО «Комсомольский-на-Амуре аэропорт»
FarEast	Хабаровский край	Советская Гавань	52287	52287	52287	"КГУП ""Хабаровские авиалинии"""
FarEast	Хабаровский край	Николаевск-на-Амуре	77257	77257	77257	ООО «Фолград»
FarEast	Хабаровский край	Охотск	83634	83634	83634	ООО «Фолград»
FarEast	Сахалинская область	Южно-Сахалинск	56175	56175	56175	ЗАО «Топливно-обеспечивающая компания»
FarEast	Сахалинская область	Южно-Сахалинск	71365	71365	71365	ООО «Аэрофьюэлз Камчатка»
FarEast	Сахалинская область	Оха	75321	75321	75321	"АО ""Аэропорт Южно-Сахалинск"""
FarEast	Сахалинская область	Ноглики	75006	75006	75006	"АО ""Аэропорт Южно-Сахалинск"""
FarEast	Сахалинская область	Зональное	59500	59500	59500	"АО ""Аэропорт Южно-Сахалинск"""
FarEast	Сахалинская область	Южно-Курильск	63225	63225	63225	ООО «Аэрофьюэлз Камчатка»
FarEast	Амурская область	Благовещенск	53880	53880	53880	ГУП Амурской области «Аэропорт Благовещенск»
FarEast	Амурская область	Благовещенск	53259	53259	53017	ООО «Аэрофьюэлз Благовещенск»
FarEast	Амурская область	Тында	49167	49167	45833	"ООО ""Тынденская нефтяная компания"""
FarEast	Амурская область	Зея	49167	49167	45833	"ООО ""Тынденская нефтяная компания"""
FarEast	Приморский край	Владивосток	53797	53797	53797	ООО «Аэрофьюэлз Камчатка»
FarEast	Приморский край	Владивосток	38624	39124	40885	ООО «РН-Аэро»
FarEast	Приморский край	Владивосток	38910	40667	40917	ООО «ТЗК ДВ»
Siberia	Красноярский край	Красноярск(Емельяново)	33787	32601	37324	ООО «РН-Аэро»
Siberia	Красноярский край	Красноярск(Черемшанка)	33787	32601	37324	ООО «РН-Аэро»
Siberia	Красноярский край	Норильск	55952	55952	55952	ООО «Аэропорт Норильск»
Siberia	Красноярский край	Абакан	36109	34923	39646	ООО «РН-Аэро»
Siberia	Красноярский край	Туруханск	55212	55212	55212	ФКП «Аэропорты Красноярья»
Siberia	Красноярский край	Подкаменная Тунгуска	55212	55212	55212	ФКП «Аэропорты Красноярья»
Siberia	Красноярский край	Кодинск	49661	49661	49661	ФКП «Аэропорты Красноярья»
Siberia	Красноярский край	Северо-Енисейск	56116	56116	56116	ФКП «Аэропорты Красноярья»
Siberia	Красноярский край	Тура	62009	62009	62009	ГП КК «КрасАвиа»
Siberia	Красноярский край	Тура (МВЛ)	62009	62009	62009	ГП КК «КрасАвиа»
Siberia	Красноярский край	Байкит	63586	63586	63586	ГП КК «КрасАвиа»
Siberia	Красноярский край	Ванавара	71891	71891	71891	ГП КК «КрасАвиа»
Siberia	Красноярский край	Хатанга	75310	75310	75310	ГП КК «КрасАвиа»
Siberia	Западная Сибирь	Толмачево	44700	38350	34700	ЗАО «Газпромнефть-Аэро Новосибирск»
Siberia	Западная Сибирь	Толмачево	33700	32150	34680	"ОАО ""Новапорт-ГСМ"""
Siberia	Западная Сибирь	Омск	36317	36317	37567	ООО «ТЗК Омск (Центральный)
Siberia	Западная Сибирь	Новокузнецк	46500	46500	45500	ООО «Аэрокузбасс»
Siberia	Западная Сибирь	Томск	39987	39987	39987	 ООО «Аэропорт Томск Сервис» 
Siberia	Западная Сибирь	Кемерово	47018	47018	47018	ООО «Газпромнефть-Аэро Кемерово»
Siberia	Западная Сибирь	Кемерово	42027	42027	42027	ЗАО «ТЗК аэропорта Кемерово»
Ural	Западная Сибирь	Стрежевой	49464	49464	49464	ООО «СпецАвиа»
Siberia	Республика Алтай	Барнаул	42139	40000	40000	ОАО «Авиапредприятие «Алтай»
Siberia	Республика Алтай	Горно-Алтайск	48250	48250	48250	АО «Аэропорт Горно-Алтайск»
Ural	Уральский Федеральный округ	Кольцово (Екатеринбург)	34384	33337	35478	АО ТЗК «Кольцово»
Ural	Уральский Федеральный округ	Кольцово (Екатеринбург)	29568	25993	27227	"ООО ""АЭРОФЬЮЭЛЗ Екатеринбург"""
Ural	Уральский Федеральный округ	Баландино (Челябинск)	42095	33765	35865	ООО ТЗК «ВОЛГА»
Ural	Уральский Федеральный округ	Курган	48791	47833	47175	ООО «Аэрофьюэлз Курган»
Ural	Уральский Федеральный округ	Магнитогорск	44800	44800	44800	"АО ""Международный аэропорт Магнитогорск"""
Privol	Приволжский Федеральный округ	Самара (Курумоч)	39300	30970	35570	ООО «Лукойл-Аэро Запад»
Privol	Приволжский Федеральный округ	Уфа	44500	43000	43000	ОАО «Международный аэропорт Уфа»
Privol	Приволжский Федеральный округ	Уфа	49921	49921	49921	ООО «Фирма Аэрофьюэлз Уфа»
Privol	Приволжский Федеральный округ	Казань	36525	34525	33025	"ООО ""Татнефтьавиасервис"""
Privol	Приволжский Федеральный округ	Оренбург	46050	38040	36772	ГУП ОО «Аэропорт «Оренбург»
Privol	Приволжский Федеральный округ	Нижний Новгород	41890	41890	36700	ООО «Лукойл-Аэро Нижний Новгород»
Privol	Приволжский Федеральный округ	Нижний Новгород	48750	48750	48750	ЗАО ТЗК «Аэрофьюэлз Нижний Новгород»
Privol	Приволжский Федеральный округ	Саратов	39333	38083	39750	"АО ""Газпромнефть-Аэро"" филиал ""Энгельс"""
Privol	Приволжский Федеральный округ	Пермь	39190	30890	35490	ООО «Лукойл-Аэро Пермь»
Privol	Приволжский Федеральный округ	Пермь	47420	47420	47420	ООО «Аэрофьюэлз-Пермь»
Privol	Приволжский Федеральный округ	Орск	42245	42245	38078	ЗАО «Газпромнефть-Аэро» филиал «Оренбург»
Privol	Приволжский Федеральный округ	Ульяновск (Восточный)	44434	44434	44434	ЗАО «Аэрофьюэлз Ульяновск»
Privol	Приволжский Федеральный округ	Ульяновск (Центральный)	35502	33835	35502	ЗАО «Газпромнефть-Аэро» филиал «Ульяновск»
Privol	Приволжский Федеральный округ	Бегишево (Нижнекамск)	43000	43000	43000	АО «Аэропорт «Бегишево»
Privol	Приволжский Федеральный округ	Чебоксары	50207	50207	50207	"ООО ""Международный Аэропорт Чебоксары"""
Privol	Приволжский Федеральный округ	Пенза	41417	39083	39083	ГБУ Пензенской области «Аэропорт города Пензы»
Privol	Приволжский Федеральный округ	Киров	46677	46677	46677	ООО «ТЗК Киров»
Privol	Приволжский Федеральный округ	Киров	45000	45000	45000	"ООО ""ТЗК ""Победилово"""
Privol	Приволжский Федеральный округ	Ижевск	47750	47750	47750	ООО «ТЗК Крылатский»
Privol	Приволжский Федеральный округ	Ижевск	46967	46967	46967	Филиал ООО «Аэрофьюэлз-Пермь» Ижевск»
Privol	Приволжский Федеральный округ	Саранск	41847	38097	39764	"АО ""Газпромнефть-Аэро"" филиал Ульяновск"""
Privol	Приволжский Федеральный округ	Бугульма	36958	36626	37258	ООО «Аэропорт «Бугульма»
Privol	Приволжский Федеральный округ	Йошкар-Ола	48579	48579	48579	ГБУ Республики Марий Эл «Аэропорт Йошкар-Ола»
FarEast	Камчатский край	Петропавловск-Камчатский	64382	64382	64382	ООО «Аэрофьюэлз Камчатка»
