Price	ComfortZone	Shell	Filling	Length	Type	Weight
65990	-40	N	Combi	215	Extreme	2,08
34650	-8	Y	Down	215	Tourist	1,01
31450	-8	N	Down	215	Tourist	1,105
16700	-1	N	Down	215	Tourist	0,582
36700	-16	N	Down	215	Tourist	1,48
71500	-23	Y	Down	205	Extreme	1,49
34000	-8	N	Down	220	Tourist	1,24
23990	1	N	Down	215	Tourist	1,13
30350	-8	N	Down	200	Tourist	1,07
13000	3	N	Down	185	Tourist	0,359
63990	-40	N	Combi	200	Extreme	2,03
51600	-35	Y	Down	205	Extreme	2,02
22600	1	N	Down	200	Tourist	0,855
35700	-22	Y	Down	200	Tourist	1,566
33500	-18	N	Down	200	Tourist	1,53
30350	-1	Y	Down	200	Tourist	0,815
39200	-22	Y	Down	215	Tourist	1,785
23720	-5	N	Down	195	Tourist	0,79
44350	-19	Y	Down	200	Tourist	1,59
30500	-12	N	Down	180	Tourist	1,265
16800	-8	N	Synthetic	200	Tourist	1,46
89650	-30	N	Down	210	Extreme	1,625
16420	-7	N	Synthetic	215	Tourist	1,105
33500	-11	N	Down	200	Tourist	1,26
46500	-19	Y	Down	205	Tourist	1,65
12550	4	N	Synthetic	215	Tourist	0,85
74500	-23	Y	Down	220	Extreme	1,53
18850	7	N	Down	210	Tourist	0,45
27550	-6	N	Down	215	Tourist	0,95
29250	-3	N	Down	220	Tourist	1,03
50990	-25	N	Down	215	Extreme	2,1
23720	-5	N	Down	210	Tourist	0,824
32850	-12	N	Down	215	Tourist	1,365
73900	-27	N	Down	225	Extreme	1,625
28490	-10	N	Down	195	Tourist	1
16000	-3	N	Synthetic	190	Tourist	1,275
30300	-15	Y	Down	215	Tourist	1,292
28000	-3	N	Down	215	Tourist	0,88
26850	-3	N	Down	200	Tourist	0,855
36300	-16	N	Down	205	Tourist	1,58
36500	-18	N	Down	215	Tourist	1,411
39600	-25	N	Down	215	Tourist	1,82
28600	-6	N	Down	215	Tourist	1,06
37700	-13	Y	Down	200	Tourist	1,25
28490	-10	N	Down	210	Tourist	1,05
39500	-13	Y	Down	215	Tourist	1,305
36900	-40	Y	Down	185	Extreme	1,646
15400	-1	N	Down	200	Tourist	0,529
23600	-10	N	Down	185	Tourist	0,778
31550	-12	N	Down	200	Tourist	1,33
27650	-6	N	Down	200	Tourist	1,04
25900	-15	Y	Down	185	Tourist	1,047
28400	-10	N	Down	215	Tourist	0,948
33550	-8	Y	Down	200	Tourist	0,98
74900	-23	N	Down	215	Extreme	1,9
40400	-40	Y	Down	220	Extreme	1,884
31900	-11	N	Down	215	Tourist	1,15
76000	-30	N	Down	205	Extreme	1,62
32490	-17	N	Down	215	Tourist	1,58
78700	-30	Y	Down	220	Extreme	1,695
23950	3	N	Down	200	Tourist	0,705
85300	-45	Y	Down	205	Extreme	1,98
17650	-8	N	Synthetic	215	Tourist	1,645
44600	-40	Y	Down	215	Extreme	2,135
55400	-35	Y	Down	220	Extreme	2,1
19800	-10	N	Synthetic	215	Tourist	1,5
23450	1	N	Down	215	Tourist	0,87
31450	-1	Y	Down	215	Tourist	0,83
23200	-2	N	Down	215	Tourist	0,76
28100	-15	Y	Down	200	Tourist	1,157
35790	-17	N	Down	195	Tourist	1,513
34850	-16	N	Down	190	Tourist	1,52
14100	3	N	Down	200	Tourist	0,406
34950	-11	N	Down	215	Tourist	1,305
36700	-25	N	Down	200	Tourist	1,59
16800	-3	N	Synthetic	205	Tourist	1,32
15300	3	N	Down	215	Tourist	0,47
30500	-8	N	Down	200	Tourist	1,27
25900	-10	N	Down	200	Tourist	0,862
24900	3	N	Down	215	Tourist	0,72
13050	-3	N	Synthetic	215	Tourist	1,1
48990	-25	N	Down	200	Extreme	1,78
21900	1	N	Down	200	Tourist	0,98
33600	-8	N	Down	230	Tourist	1,335
